Sector,Stock P/E,Price to book value,Debt to equity,Return on equity,Return on assets,Buy
Energy,19.9,2.8,2.8,-2.2,3.4,0
Infrastructure,39.1,6,2.63,38.2,16.9,0
Real Estate,52.6,6,0.43,-7.9,3.8,0
Telecommunications,76.2,12.7,2.44,-3,22.2,0
Real Estate,1.7,0.2,4.01,36.7,2.5,1
Automobiles,66,2.2,0.79,17,12.6,1
Metals and Mining,66.3,10.9,3.49,20.8,0,0
Energy,25.8,1.1,2.79,21.4,27.3,1
Textiles,46.3,2,4.36,30,21.2,0
Real Estate,20.8,1.4,0.58,18.1,20.7,1
Energy,17.1,3.6,4.4,9.6,2.8,0
Consumer Goods,106,21.1,3.2,16.8,4,0
Banking,85.2,1.6,5.52,13.6,1,0
Consumer Services,21.6,8.9,1.24,-8.9,29,0
Textiles,27.1,5,3.47,37.6,2.3,0
Infrastructure,14,7.6,0.49,37.8,4.2,1
Real Estate,12.3,3.5,5.62,37.7,-2.7,0
Metals and Mining,18.5,12.9,4.71,-4,0.5,0
Real Estate,42.3,13.4,5.3,2.5,27.6,0
Pharmaceuticals,50.7,5,4.46,32,19.7,0
Textiles,18.7,3,3.98,3.6,0.8,0
Banking,40.4,5.5,0.65,25.7,26.2,1
Automobiles,6.8,13.7,1.78,28.1,22.5,1
Infrastructure,17.4,8.3,0.46,-3,-4.1,0
Energy,9.8,14.4,1.98,33.5,27.6,1
Chemicals,28,12.8,4.45,23.1,24.6,1
Information Technology,68.2,2.6,0.74,6.4,21.3,1
Infrastructure,72,11.6,1.81,8.6,27.6,0
Automobiles,7.4,8.6,3.7,23.6,14.1,1
Consumer Goods,70.5,2,1.78,16,29.1,0
Chemicals,4.6,2.6,2.39,34.2,0.1,1
Automobiles,13.1,2.7,0.43,38.2,10.7,1
Real Estate,69.1,1.4,0.27,17.5,4.9,1
Financial Services,56.8,4.6,4.66,29.9,26.8,1
Consumer Goods,8.7,13.4,1.54,25.1,-1.4,0
Chemicals,68.8,12.8,4.07,35.3,-1.9,0
Automobiles,14.1,0.3,2.4,28.6,27.6,1
Automobiles,16,2.2,2.49,37.7,11.5,1
Energy,70.5,8,5.41,10.4,10.2,0
Financial Services,5.6,13.5,0.84,5.3,-0.4,0
Banking,19.1,2.4,1.95,36.1,7.3,1
Energy,68.2,4.8,1.16,4,12.7,0
Real Estate,56.1,11.3,5.73,29.5,9,0
Telecommunications,34.7,11.5,1.51,21,4.9,1
Financial Services,15.9,4.2,0.23,5,12.5,1
Telecommunications,84.3,8.5,3.51,-4.2,14.6,0
Pharmaceuticals,34.8,1.9,2.16,34.7,1.9,1
Financial Services,35.8,1.1,3.27,30.2,13.1,1
Metals and Mining,42.2,10.1,0.77,3.1,-4.2,0
Metals and Mining,37.8,9.1,3.82,20.7,-3.9,0
Financial Services,46.1,14.9,2.56,8.8,25.1,0
Energy,63.2,14.1,4.6,22.9,-4.2,0
Consumer Goods,48.8,18.1,4.79,2.4,-2.4,0
Real Estate,22.8,2,1.31,-6.2,18.2,0
Consumer Goods,44.7,14.5,2.21,11.2,-0.7,0
Chemicals,63.3,12.5,3.71,18.5,-4.2,0
Textiles,7.2,5.3,0.93,16.2,4.5,1
Energy,43.9,10.5,3.14,-5.4,-2.3,0
Financial Services,77,12.1,2.03,-6.5,14.1,0
Chemicals,55,5.5,0.46,28,18.5,1
Consumer Services,22.6,8.1,0.36,10.4,10.7,0
Metals and Mining,77.3,10.5,1.21,-2.3,18.6,0
Automobiles,60.8,0,4.97,-4.9,29.1,0
Telecommunications,26.1,8.8,2.53,8.2,8.5,0
Infrastructure,7.2,2.5,3.65,16,25.5,1
Energy,55.2,10.9,1.47,38,25.9,1
Infrastructure,19.5,9.9,2.26,6.7,25.5,0
Consumer Goods,57.1,20.1,0.79,25.9,4.7,0
Consumer Goods,61.9,0.5,4.57,37.8,5.7,0
Consumer Goods,74.2,7.4,0.48,11,29.9,1
Pharmaceuticals,23.4,0.3,3.52,20.8,1.5,1
Metals and Mining,18.7,0.2,1.52,26.3,27.8,1
Real Estate,3.1,14.2,0.21,21.7,-2.6,1
Banking,33.8,5.2,0.96,29.6,19.7,1
Automobiles,33.2,4.9,4.85,7.7,3.5,0
Banking,27.9,5.3,4.23,38.9,20.7,0
Metals and Mining,50.7,7.2,0.15,-6,17.7,0
Telecommunications,19.4,1.3,4.75,34.3,27.4,1
Infrastructure,47.5,0.2,1.54,-7.1,23.3,0
Information Technology,21.3,4.6,2.26,22.6,2.3,0
Textiles,25.6,0.6,3.04,29.6,14.7,1
Infrastructure,14.1,5.7,4.11,25.6,5.4,0
Consumer Goods,82.1,2.4,2.2,44.1,-0.8,0
Pharmaceuticals,82.2,2.1,3.06,11.3,4.7,0
Textiles,71.6,3.1,0.52,8.6,1.6,0
Consumer Services,45,13.3,1.13,-4.7,13,0
Real Estate,87.5,0.4,1.47,36.4,-1.6,1
Telecommunications,73.9,3.4,3.59,19.6,16.4,0
Automobiles,10.9,9.1,2.35,4.3,-2.4,0
Metals and Mining,37.8,2.1,4.66,-3.3,-4.3,0
Textiles,49.3,12.6,1.04,8.9,16.7,0
Textiles,69.6,7.3,3.61,8.9,25.9,0
Automobiles,32.3,0.6,3.38,26,12.7,1
Information Technology,8.4,10,0.5,3.2,26.3,1
Telecommunications,24.6,14.8,3.31,26.5,-4.8,0
Chemicals,46.5,0.6,4.6,22.6,0.9,0
Consumer Goods,4.2,0.9,2.14,39.8,18.1,1
Consumer Goods,11.5,14.4,2.7,19.6,33.6,0
Banking,42,3.9,0.41,23.2,25,1
Real Estate,20.9,4.9,3.01,19.7,22.9,0
Banking,50.6,9.4,2.8,14.5,6.5,0
Information Technology,24.6,9.5,1.48,-1.4,-1.8,0
Metals and Mining,40,9.7,0.04,-2.1,26.3,0
Real Estate,55.3,14.1,5.76,11.6,27.4,0
Metals and Mining,60.4,1.8,0.45,27,26.4,1
Energy,0.7,3.6,4.66,20.6,6.1,1
Metals and Mining,9.8,14,1.23,21.2,17.4,1
Information Technology,21.9,10.7,4.85,32.5,37.4,1
Automobiles,89.4,6.9,0.55,-0.9,7.6,0
Information Technology,53.6,6.9,0.64,36.1,29.9,1
Metals and Mining,37.4,13.7,1.83,9.6,7.9,0
Pharmaceuticals,38.8,13.8,4.05,13.8,14.8,0
Textiles,31.8,3.5,1.89,33.1,-1.4,0
Textiles,35.2,9.2,4.86,36.7,23.1,0
Banking,4.8,8.3,0.1,14.5,-2.4,0
Metals and Mining,3.2,4.7,0.31,37.6,28.9,1
Real Estate,88.5,6.8,2.79,31.8,-1.2,0
Automobiles,13.4,12.5,0.7,39.5,-1.3,1
Chemicals,48.6,3.9,2.47,10.1,8.5,0
Pharmaceuticals,65.3,11,4.81,-4.6,25.2,0
Real Estate,5.1,10.6,3.49,32.2,28.3,1
Energy,74.1,1.9,2.06,34.4,18.2,1
Consumer Services,55.7,5.2,2.03,13.4,-1.6,0
Banking,21.5,13.2,5.56,29.4,-4.1,0
Financial Services,22.2,9.9,1.41,20.4,9.8,1
Real Estate,82.3,10.7,1.05,-4.5,28.7,0
Textiles,9.3,12,0.14,26.8,6.5,1
Automobiles,14.4,9.9,1.01,21.9,-3.4,1
Banking,60.5,8.1,1.37,33.9,23.9,1
Textiles,27.9,0.4,3.68,24.5,28.3,1
Automobiles,19.9,0.5,2.24,-5.4,10.3,1
Banking,14.8,13.8,4.81,28.9,7.8,1
Automobiles,63.3,12.4,0.79,38.5,7.2,0
Textiles,59.3,14.4,2.58,5.7,11.7,0
Telecommunications,43.6,10.8,0.45,10.8,25,0
Telecommunications,64.7,0.3,5.98,-9,18.1,0
Banking,42.6,10,4.23,-1.2,23.4,0
Infrastructure,21.2,3.2,3.48,13.1,25.4,0
Consumer Services,3.9,7.1,4.03,11.2,4.5,0
Banking,79.9,6.3,4.33,-1.5,27.5,0
Telecommunications,38.7,7.6,5.62,36.4,11.5,1
Energy,10.9,12.3,3.17,5,9.3,0
Consumer Goods,28.3,1.7,1.41,23.9,37.4,1
Metals and Mining,0.2,10,2.74,-8.6,15.6,0
Energy,24.2,3.9,2.39,28.5,2.4,1
Infrastructure,11,0,3.18,10.1,23.7,1
Financial Services,87.9,10.9,1.99,2.5,0.6,0
Telecommunications,48.7,8.4,0,25.9,24.3,1
Financial Services,8,11.1,3.15,20.3,16.5,1
Information Technology,67,10.6,1.46,7.3,28.2,0
Consumer Services,10.9,3.8,1,17.7,3.1,1
Chemicals,34.1,11.4,0.85,-4.9,28.6,1
Banking,37.4,9.7,0.4,-7.6,-3.8,0
Telecommunications,96.5,1.8,1.24,2.3,6.9,0
Infrastructure,66.1,8.3,2.91,18.9,21.5,0
Textiles,31.9,9.3,4.47,13.5,-3.3,0
Information Technology,7.9,9.7,1.76,43.6,34.6,1
Information Technology,45.4,6.5,0.7,1.6,11.1,0
Financial Services,24,1,1.86,32.6,1.2,1
Telecommunications,75.7,12.4,1.22,-4.8,7.6,0
Consumer Goods,43.3,4.6,1,20,4.9,0
Chemicals,64,1.7,4.45,36.9,6.6,0
Chemicals,14.2,4.2,4.38,0.4,13.9,1
Financial Services,69.7,0.3,1.72,18.2,14.7,1
Telecommunications,31,8.5,3.36,5.3,22.7,0
Energy,11.4,5,1.05,-6.7,16.6,1
Consumer Services,58.9,3.9,1.87,19.9,26.2,0
Textiles,22.8,2.4,3.3,-0.4,-4.8,0
Banking,82,8.4,0.76,20.6,7.2,1
Energy,21.3,1,5.5,33.8,21.6,1
Chemicals,70.8,2.5,1.06,-5.6,0.7,0
Consumer Goods,2.4,4.7,2.14,6.3,12.1,0
Banking,46.8,9.4,5.23,33.2,26.5,0
Metals and Mining,11.1,12.8,1.61,17.6,7.6,0
Real Estate,62.8,10.6,0.96,8.5,6.3,0
Chemicals,26.3,7.7,3.62,26.1,22.3,1
Infrastructure,84.7,4.8,0.29,-4,29.8,0
Telecommunications,34.2,4,1.31,28.2,28.2,1
Information Technology,12.1,4.6,4.41,23.4,18.3,1
Metals and Mining,81.8,5.3,4.53,26.6,21.6,0
Textiles,12.8,7.4,4.31,15.6,27.4,1
Telecommunications,83.5,13,2.7,-4.7,7,0
Consumer Services,4.2,0.3,4.51,30.6,24.3,1
Textiles,60.1,6.8,0.13,15.2,30,1
Real Estate,48.5,9.9,2.24,31.3,29.5,0
Automobiles,73.9,1.2,0.42,39,29.2,1
Automobiles,11.7,6,3.6,17.2,18.5,1
Telecommunications,7.3,13,1.73,15.8,-2.9,1
Banking,15.7,10.1,4.73,35.4,9,1
Financial Services,2.8,0.8,0.86,-3.3,10.7,1
Automobiles,50.3,2.6,0.91,4.2,13.5,0
Infrastructure,42.9,0,1.27,38.9,15.1,1
Real Estate,39.4,10.8,0.25,20.8,26.8,1
Automobiles,63.6,1.3,2.03,36.9,15.1,1
Pharmaceuticals,15.9,11,3.92,18.3,24.2,1
Consumer Services,67.6,4.2,1.4,19.9,23.3,1
Pharmaceuticals,29,2.5,0.46,-2.1,6,1
Information Technology,15,2.2,0.27,17.2,35.4,1
Energy,65.7,2.2,0.86,-3.8,7.8,0
Real Estate,53.9,14.3,2.96,28.6,28.3,0
Pharmaceuticals,27.8,1.5,0.71,23.7,0.2,1
Telecommunications,93.8,9.1,5.65,8.5,15.9,0
Information Technology,65.1,4.8,1.6,36.4,19.7,0
Banking,53.8,7.8,5.73,-4.3,14.1,0
Energy,5.3,5.5,4.18,11.3,13.1,0
Consumer Goods,7.8,22.7,2.64,26.6,15.9,0
Energy,35.6,12.7,4.4,-8.3,10.1,0
Financial Services,42,10,0.96,38.5,0.5,0
Metals and Mining,71.9,9.4,2.87,31.2,26.6,0
Real Estate,71.8,5,4.71,29.6,-3.4,0
Financial Services,76.6,1.4,2.49,39.2,22.8,1
Pharmaceuticals,4.3,10.8,3.43,35.2,-2.4,0
Consumer Goods,34.5,3.9,0.85,14.2,28.7,1
Chemicals,28.9,2.9,3.9,13.4,18.8,1
Financial Services,16.5,6.7,0.89,22.8,-4.1,1
Infrastructure,17.7,9.7,3.37,26.8,29.3,1
Infrastructure,66.2,7.6,4.36,14.9,-1.8,0
Textiles,76.6,1.5,0.86,2.9,8.3,1
Pharmaceuticals,25.4,7.8,1.93,0.3,1.2,0
Telecommunications,20.9,10,2.84,18.5,22.6,1
Pharmaceuticals,31.6,9,3.3,28.9,14.1,1
Textiles,74.6,5.6,1.05,-3.1,2.5,0
Infrastructure,17.9,10.2,3.24,-4.3,6.6,0
Real Estate,31.7,5.2,5.48,23,-3.6,0
Textiles,7.8,0,4.32,13.8,26.8,1
Chemicals,17.9,8.9,3.63,3.2,1.3,0
Banking,64.7,8.8,0.64,25.3,8.2,1
Information Technology,37.2,5.4,2.33,1.8,7.9,0
Real Estate,24,0.7,3.7,31.5,21.4,1
Telecommunications,19.9,0.7,0.22,16.5,17,1
Banking,28.1,3.6,0.33,36.8,2.2,1
Infrastructure,17.8,3.9,3.62,32.8,16.6,1
Consumer Services,58.4,9.2,0.61,22,3,0
Consumer Goods,25.5,0.4,3.44,34.7,-2.3,1
Metals and Mining,83.9,0.1,3.81,4.2,29.8,0
Telecommunications,51.7,12.6,5.54,26.7,12,0
Textiles,52.5,7.3,4.03,33.7,-4.8,0
Metals and Mining,37.2,3.5,0.25,35.2,29.1,1
Financial Services,17.9,9.4,1.06,1.7,0.9,0
Information Technology,81.2,1.4,1.34,29.4,34.3,1
Banking,36.2,13.8,3.69,2.9,-4.4,0
Infrastructure,21.2,1.6,3.06,12.7,27.9,1
Energy,25.8,14.5,4.8,17.4,28.3,0
Infrastructure,89.7,3.2,0.56,-0.1,20.5,0
Infrastructure,21.6,12.7,0.41,1.8,16.7,1
Consumer Goods,39.5,14.9,0.37,48.8,32.1,1
Banking,23.5,11.2,3.02,23.5,9.6,0
Financial Services,26.7,4.8,4.18,25.1,1.9,1
Textiles,63.2,9.5,0.08,6.1,16,0
Automobiles,63.7,10.9,3.26,35,0.4,0
Financial Services,51.4,5.5,0.17,5.7,0.1,0
Textiles,6.2,7.1,2.25,11.5,7.4,0
Metals and Mining,16.5,0.4,4.89,5.5,17.2,0
Banking,37.8,1.8,1.5,26.9,-1.7,1
Consumer Services,24.6,12.1,2.85,-9.6,7.3,0
Banking,22.5,0.6,3.15,22.1,1.6,1
Consumer Goods,50.4,13.9,0.22,36.5,7.1,0
Infrastructure,78.8,1.3,0.7,9.1,25.8,1
Metals and Mining,87.9,1,2.15,12.1,13.1,1
Infrastructure,30.5,4.8,3.6,25.4,5.6,0
Consumer Services,1.5,14.9,1.16,-5.2,11,1
Telecommunications,87.2,3.1,3.9,24.2,26.4,0
Energy,79,8.5,3.3,32.1,-3.7,0
Energy,35.3,7,0.9,20.9,10.3,1
Infrastructure,66.6,0.5,2.85,-8.3,5.5,0
Automobiles,75.6,1.3,3.31,27.2,8.4,0
Banking,68.5,6.6,4.18,13.6,5.8,0
Pharmaceuticals,85.3,0.7,1.72,20.8,-2.1,0
Pharmaceuticals,58.5,5,0.29,32.7,27.9,1
Metals and Mining,67.6,6,1.42,28.1,24.9,1
Telecommunications,21.2,7.9,1.19,12.2,11.2,1
Consumer Services,72.6,8,0.06,25.3,-0.5,0
Information Technology,40.7,9.5,4.54,20.6,32.2,0
Energy,88.1,6.1,0.87,13.8,16.7,0
Financial Services,28.5,12.9,0.91,-0.1,18.3,1
Real Estate,25.2,13.5,4.23,10.3,2.1,0
Information Technology,2.1,2,0.23,26,26,1
Financial Services,7.9,8.8,2.08,11.4,23.6,0
Consumer Services,3.6,8.6,0.57,29.8,22.6,1
Pharmaceuticals,43.1,1.1,2.18,19,29.9,1
Chemicals,54.5,4.6,0.81,21.8,14.2,1
Telecommunications,60.6,13.7,4.85,37.9,20.4,0
Chemicals,78.4,4.9,2.37,9.4,8.1,0
Consumer Services,2.8,8,4.6,10.4,26.4,0
Consumer Goods,48.8,22.6,2.17,43.1,24.4,0
Textiles,26.6,0.5,1.46,27.6,1.8,1
Information Technology,70.2,12.6,4.47,20.8,30.6,0
Metals and Mining,5.8,0,0.88,15.8,30,1
Pharmaceuticals,69.9,7.5,3.64,31.6,29.7,0
Pharmaceuticals,29,2.4,4.87,38.4,-1.6,1
Energy,79.9,5,4.84,7.9,8.2,0
Infrastructure,68.7,3.7,1.33,13,27.1,0
Chemicals,13.9,2.3,0.69,11.5,14.7,1
Banking,20.8,6.2,5.69,29.4,-2.4,0
Chemicals,27.7,12.9,4.34,37.2,23.1,1
Banking,59.5,13.2,4.77,0.4,23.6,0
Real Estate,71.6,4.9,4.97,16.1,24.4,0
Chemicals,46.7,10.5,0.37,25.4,-2.3,0
Consumer Goods,100.4,10.2,4.41,23.2,1.7,0
Financial Services,77.8,11.5,3.98,5.6,11.9,0
Banking,56.1,13.4,5.53,-9.5,21.7,0
Information Technology,77.2,8.9,0.17,43.6,35.5,1
Consumer Services,28.2,5.5,5,16.2,28,0
Information Technology,78.4,8.9,4.56,20.7,6.4,0
Pharmaceuticals,8.3,2.3,2.85,31.6,1.6,1
Consumer Goods,4.9,23.7,2.13,-8.7,35.9,0
Energy,39.3,14.2,2.33,12.9,-0.5,0
Telecommunications,34.8,2.1,1.55,38.5,12,1
Automobiles,31.8,2.6,3.58,35.4,23.8,0
Consumer Services,14.5,10.4,0.36,-5.8,26.9,1
Financial Services,89.6,0.8,0.64,27.2,23.3,1
Chemicals,41.8,1.3,1.82,-5.6,-3.9,0
Textiles,34.9,0.7,0.87,37.4,24.8,1
Consumer Services,33.1,8,0.01,29.3,-1.9,0
Consumer Goods,7,8.6,4.54,0.1,35.4,1
Banking,90,9.3,3.32,12.1,0.3,0
Metals and Mining,82.5,5.8,1.72,7.9,20.6,0
Financial Services,70.1,1.9,2.68,27.9,20,1
Metals and Mining,53.9,4.6,3.03,2.1,17.2,0
Energy,16.6,1.1,2.09,37.7,-1.8,1
Consumer Services,31.5,1.9,0.21,-4.1,3.7,0
Telecommunications,40.2,2.4,5.73,23.7,28,1
Information Technology,69.3,3.2,1.22,-4.8,13.2,0
Energy,20.1,11.2,3.93,28.6,0.8,0
Telecommunications,58,3.6,1.29,12.4,7.8,0
Information Technology,53.2,8,3.82,44.6,2.6,0
Information Technology,75.9,11.3,4.56,6,0.3,0
Information Technology,5.4,0.3,3.11,-9.5,18,1
Telecommunications,75.3,4.9,1.86,39.1,7.9,0
Pharmaceuticals,63.2,5.9,2.85,17.8,17.4,0
Financial Services,12.8,15,2.78,0.9,21.6,0
Textiles,73.8,0.3,0.46,33.7,2.1,1
Telecommunications,58.4,14.3,2.16,-0.9,25.4,0
Automobiles,34.5,13,2.21,18.7,12.9,0
Chemicals,52,10.2,2.56,35.9,14.4,0
Consumer Services,26.5,6.1,2.55,26.2,-2.3,0
Real Estate,60.7,8.5,0.62,14.5,29,1
Pharmaceuticals,88.1,12.3,2.88,18.5,23,0
Banking,75.4,14.3,1.53,10.2,15.8,0
Consumer Goods,33.3,19.8,3.74,47.2,12.3,0
Chemicals,76.9,12.7,4.07,34,3.6,0
Telecommunications,15.5,10.5,2.66,35.6,21.2,1
Information Technology,84.7,10.8,1.85,3,10.7,0
Consumer Goods,88.7,2.8,2.45,8.6,27,0
Real Estate,36,9.7,0.41,37,8.1,1
Banking,79.2,13.8,2.3,19,-3.1,0
Metals and Mining,76.6,10.8,3.28,31.7,12.3,0
Financial Services,72.5,10.5,3.42,22.3,-4,0
Consumer Services,22.1,2.1,0.61,10.8,-2.3,0
Consumer Goods,30.6,3.5,3.11,0.2,14.9,0
Chemicals,69.7,4.4,4.59,20,6.9,0
Financial Services,1.3,6.4,0.77,27.9,4,1
Real Estate,31.2,14.5,1.16,16.1,8.4,1
Textiles,54.2,14,2.91,8.9,-3,0
Banking,56.3,13.2,3.02,38.1,27,0
Textiles,77.8,14.4,1.89,23,17.7,0
Textiles,31.5,6.9,3.33,32.2,5.6,0
Automobiles,50.4,9.6,2.46,37.4,8.3,0
Infrastructure,13.5,0.7,0.37,2.8,13.5,1
Pharmaceuticals,84.3,8.3,4.1,25.1,10.4,0
Information Technology,39.2,3.2,0.36,3.7,12.2,0
Infrastructure,81.7,8.8,2.59,12.8,-2.5,0
Consumer Services,34.1,8.2,3.52,3.3,29.3,0
Textiles,17.2,14,4.68,18.2,24.1,1
Financial Services,15.8,13.3,0.3,-9.6,22.2,1
Telecommunications,59.8,9.4,5.6,12.5,3,0
Metals and Mining,4,13,1.35,10.3,2.7,0
Textiles,47.4,6.3,2.99,-6.5,10.9,0
Metals and Mining,37.3,2.9,1.48,25.4,22.3,1
Real Estate,67.5,1.5,0.81,19.5,13.7,1
Consumer Goods,19.6,1.2,4.7,50.4,25.7,1
Consumer Services,0.1,8.7,2.31,5.5,12.3,0
Infrastructure,79.8,0.9,0.28,33.3,20.8,1
Financial Services,56.3,7.8,2.09,18.2,-2.1,0
Real Estate,75.2,2.4,1.41,19.4,29.3,1
Information Technology,22.6,14,4.55,5.6,19.5,0
Telecommunications,48.9,1.9,1.15,-9.9,26.7,1
Banking,10.2,4.3,5.3,-4.8,29.7,0
Telecommunications,24.8,4.7,4.22,29.2,26.9,1
Financial Services,39,0.8,0.25,20.3,17.2,1
Financial Services,53.1,9.4,4.5,-1.1,2.9,0
Financial Services,62.5,13.9,0.13,27.2,26.4,1
Pharmaceuticals,11,0.7,0.82,7.9,17.7,1
Consumer Goods,37.5,15.5,4.91,43.5,33.8,1
Textiles,28.4,2.7,1.86,-5.7,19.6,0
Consumer Goods,5.9,4.2,4.69,15.7,22.4,1
Banking,61,13.3,4.62,34.5,9.3,0
Real Estate,56,6.6,3.57,-8.2,11.7,0
Pharmaceuticals,71.4,5.8,2.87,32.7,24.6,0
Consumer Services,12.9,14.7,2.65,-8.8,-1.1,0
Textiles,6.1,12.6,2.65,-9.9,24,0
Financial Services,63.5,3.6,0.32,-0.4,21.2,1
Financial Services,59,9.1,1.85,39.6,13.5,0
Energy,60,12.3,4.22,35.3,10.9,0
Pharmaceuticals,57.3,14,2.39,27.7,26.2,0
Banking,36.2,7.1,4.11,-7.5,3.3,0
Financial Services,48.8,6.4,3.36,-1.4,16.8,0
Infrastructure,1.1,0.6,0.54,33.1,-1.4,1
Automobiles,10.2,2.5,2.88,5.3,7,0
Energy,88.7,12.8,1.52,22.2,29,1
Chemicals,5.3,8.1,4.4,35.9,24.1,1
Textiles,68.4,14.5,3.33,10.7,0.9,0
Information Technology,58.1,3.7,3.93,28.5,24,1
Pharmaceuticals,35.6,12.5,4.31,1.8,6.2,0
Consumer Goods,19.7,19.7,1.03,1,0.9,0
Information Technology,59.8,0.5,3.64,-4,30.4,0
Metals and Mining,81.7,9.4,3.66,37.4,-0.2,0
Metals and Mining,20.1,6.5,2.07,32.2,22.9,0
Pharmaceuticals,56.4,8.6,1.98,18.3,10.7,0
Pharmaceuticals,4.2,5.9,1.58,22.2,13.6,1
Textiles,77.9,3.2,2.36,-6.6,16.7,0
Automobiles,51.9,3.6,1.52,-3.8,13.1,0
Automobiles,85,13.9,3.51,2.5,-4.7,0
Metals and Mining,72.7,0.5,0.95,3.7,-4.2,0
Consumer Services,67.6,6.6,3.22,-2.5,6,0
Infrastructure,2,5.5,0.5,20.1,6.2,1
Consumer Goods,65.7,2.1,0.46,2.5,16.7,0
Metals and Mining,11.4,7.5,2.35,38.4,-4,0
Banking,60,5.6,5.55,32.5,25.3,0
Metals and Mining,17.5,5.7,4.45,-8.3,23.1,0
Textiles,3.6,10.5,0.48,32.3,4.5,1
Textiles,32,5,0.33,3.4,12.3,0
Energy,70.7,7.9,3.93,9.3,26.6,0
Pharmaceuticals,24.5,4.4,2.49,26.8,24.2,1
Metals and Mining,35.7,1.1,2.47,23.1,8.1,0
Pharmaceuticals,16.7,14.3,2.52,16.5,16.6,0
Energy,42.3,2.3,1.45,26.2,2.3,1
Pharmaceuticals,27.1,2.3,4.87,8.4,10.5,0
Real Estate,14.8,13.2,0.09,37.1,3.1,1
Information Technology,36.4,2,3.75,41.8,4.6,0
Pharmaceuticals,22.1,8.4,3.49,31.7,4.8,0
Real Estate,56.8,0.5,1.73,20.2,-3.6,1
Telecommunications,56.9,3.4,2.82,-9.2,4.6,0
Energy,27.6,1.5,3.15,23.8,15.5,1
Financial Services,81.8,3.1,2.8,30.9,16.8,1
Automobiles,74.9,6.1,3.38,7,7,0
Metals and Mining,35,1,0.52,38.3,22.9,1
Automobiles,54.6,14.8,3.92,4.8,15,0
Real Estate,5.2,0.8,3.56,27.7,24,1
Textiles,17.3,13.6,2.29,-1.1,21.4,0
Consumer Goods,80,22.6,4.4,-2.8,36.9,0
Pharmaceuticals,84.1,13.2,2.98,24.2,1.9,0
Real Estate,55,14,2.94,5.3,4.8,0
Energy,51.4,13.8,1.54,0.6,22,0
Information Technology,31,10.3,0.33,18.3,5.5,0
Metals and Mining,17.6,9.4,1.86,24.6,-3.4,0
Consumer Goods,8.8,1.5,3.91,34.4,19.5,1
Energy,36.2,12.5,1,33.1,21.4,1
Information Technology,29.7,0.2,3.77,37.2,32.6,1
Information Technology,18.1,4.7,2.07,34.7,27.3,1
Telecommunications,77.4,10.8,1.81,7.1,-0.5,0
Infrastructure,70.2,10.5,3.37,30.1,14.1,0
Real Estate,63.5,6.4,1.92,22,28,1
Automobiles,55.5,3.5,1.34,35.7,25.3,1
Textiles,68.6,9.8,0.91,-6.3,12.8,0
Pharmaceuticals,54.6,14,4.85,31.1,12.7,0
Telecommunications,63.3,1.4,2.01,21,10.8,1
Energy,83.2,4.9,5.61,-2.1,25.6,0
Telecommunications,33,6.2,0.91,33.2,0.2,1
Textiles,3.8,0.7,0.13,9,14.5,1
Infrastructure,82.9,2.6,0.63,13.1,20.9,1
Automobiles,66,0.6,0.76,29.6,-2.7,1
Information Technology,22.4,7.8,4.12,-4.7,36.9,0
Chemicals,24,13.6,3.12,14.2,1.9,0
Pharmaceuticals,23.2,5.7,2.59,27.3,27,1
Energy,36.7,12.4,1.9,6.8,25,0
Energy,80.5,3.2,3.8,24.1,24.2,1
Chemicals,39.6,2.4,0.48,30.3,18.6,1
Energy,36.6,9,5.63,8.8,14.3,0
Textiles,12.7,11.6,1.18,23.4,-0.3,1
Financial Services,43.4,11.7,0.23,8.6,10.5,0
Consumer Goods,74.7,5.4,0.76,50.4,10.2,1
Infrastructure,82,2.9,3.02,22.6,27,1
Automobiles,52.2,10.1,0.52,-8.9,-1.9,0
Chemicals,97.6,2.1,0.92,38.4,26.4,1
Infrastructure,11.4,14.7,4.39,17.2,26.5,1
Pharmaceuticals,86,13.2,0.49,18.4,23.6,1
Chemicals,65.9,9.5,2.03,20.1,11.7,0
Energy,65,9.6,5.35,28.2,25,0
Real Estate,19.2,14.8,5.63,13.5,12.4,1
Chemicals,41.9,6.8,2.41,7.8,16.3,0
Financial Services,20.1,0.3,4.67,16,21.8,1
Real Estate,12.6,5.1,2.89,37.1,27.7,1
Pharmaceuticals,53.6,1.6,0.35,28.4,15.6,1
Automobiles,50.4,7.9,3.25,-7.3,2.5,0
Metals and Mining,66.1,8,0.33,37.6,2,0
Pharmaceuticals,78.9,9.6,3.77,-7.6,3.1,0
Real Estate,46.7,2.3,5.5,14.3,27.7,0
Consumer Services,18.5,2.9,0.3,26.3,28.1,1
Infrastructure,21,4.4,2.16,28.1,12,1
Chemicals,32.9,1.2,0.11,31.3,15,1
Infrastructure,87.8,11.3,3.06,5.7,15.9,0
Telecommunications,83.9,8.4,1.54,12.2,16.3,0
Consumer Services,39.4,6,0.58,37.4,17.9,1
Telecommunications,22.7,2.6,1.65,14.3,17.3,1
Pharmaceuticals,26.3,7.4,3.53,31.8,18,1
Consumer Goods,46.1,9.2,1.91,12.4,-2.6,0
Textiles,46.7,3.6,1.96,10.3,12.4,0
Infrastructure,61,2,2.81,2.6,14.3,0
Textiles,46.9,9.9,2.11,37.8,20.8,0
